Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
1,Gold,北京大学,全给党,10,1115,+1(278),+1(193),+2(126),,,+1(19),+1(36),+3(216),+1(6),-6,+1(9),+1(41),+2(111)
2,Gold,北京航空航天大学,黑人问号.jpg,9,1256,,+2(193),+4(296),,,+1(40),+3(94),+3(241),+2(6),,+2(17),+1(27),+1(142)
3,Gold,杭州电子科技大学,HDU-AcmKeHaoWanLe,8,855,,,+1(63),-18,,+1(60),+1(90),+3(294),+1(5),,+1(22),+1(41),+2(220)
4,Gold,电子科技大学,UESTC_不如去上海坐磁悬浮吧,8,1076,,,+4(223),,,+1(73),+1(100),+2(279),+2(9),,+2(34),+1(44),+1(194)
5,Gold,上海交通大学,魔典,8,1131,,,+2(259),-3,,+1(127),+4(162),+3(296),+1(9),,+1(23),+1(80),+1(55)
6,Gold,西北工业大学,夏威夷吉他,7,728,+1(241),,,,,+1(26),+2(254),,+1(7),,+1(12),+1(56),+1(112)
7,Gold,北京大学,(空),7,769,,,,,+1(243),+2(73),+3(121),-5,+2(16),,+1(27),+1(42),+1(167)
8,Gold,北京大学,迷失星团,7,810,,,+3(260),-4,,+1(60),+1(170),+2(133),+1(12),,+1(25),+2(70),
9,Gold,中国科学院大学,露染霜干片片轻,7,877,,,,,,+1(88),+1(143),+2(271),+1(13),,+1(23),+1(99),+3(180)
10,Gold,中山大学,SYSU_代码果冻,7,891,,,,,,+1(76),+2(154),+5(275),+2(13),,+1(22),+2(66),+1(145)
11,Gold,中山大学,SYSU_数位爱,7,1108,,,+5(259),,,+4(153),+1(242),-1,+1(9),,+1(16),+2(58),+1(211)
12,Gold,北京航空航天大学,TAT,6,392,,,-7,,,+1(61),+1(87),,+1(10),,+1(16),+1(45),+1(173)
13,Gold,南京大学,我，青玉德，吃鸡！,6,472,,,-30,,,+1(109),+2(88),,+3(11),,+1(13),+1(47),+1(144)
14,Gold,苏州大学,葬爱三少,6,554,,,+1(220),,,+1(72),,-1,+1(11),,+2(20),+1(50),+1(161)
15,Gold,中山大学,SYSU_深黑幼想,6,576,,,-2,,,+1(103),+3(189),,+2(11),,+1(14),+1(22),+1(177)
16,Gold,吉林大学,哦哈喵,6,655,,,,,,+1(64),+2(195),,+1(17),,+1(26),+1(79),+1(254)
17,Gold,北京邮电大学,格雷科技,6,669,,,-7,,,+1(53),+2(156),,+1(11),,+2(63),+1(74),+2(252)
18,Gold,哈尔滨工业大学,相信的心就是你的算法,6,706,,,,,,+1(53),+2(290),,+1(13),,+1(26),+1(64),+1(240)
19,Silver,哈尔滨工业大学,记者,6,722,,,,-24,,+1(127),+2(214),,+1(10),,+1(22),+1(65),+1(264)
20,Silver,中南大学,大吉大利,6,735,,,,,,+1(71),+2(217),,+1(16),,+1(22),+1(105),+1(284)
21,Silver,北京科技大学,挑战,6,739,,,,,,+1(70),+1(246),,+1(9),,+2(23),+1(75),+1(296)
22,Silver,武汉大学,丝滑拿铁,6,759,+1(271),,-2,,,+1(69),+3(289),,+1(23),,+1(14),+1(53),
23,Silver,武汉大学,听歌喝茶队,6,770,,,,,,+1(158),+2(188),,+1(12),,+1(34),+1(62),+1(296)
24,Silver,中国人民大学,金仓·银仓,6,785,,,-1,,,+3(84),+2(259),,+2(8),,+1(17),+1(123),+2(194)
25,Silver,华南理工大学,爆破小队,6,800,,,,,,+2(154),+1(279),,+1(8),,+1(18),+1(86),+1(235)
26,Silver,成都信息工程大学,落地成盒,6,881,+3(279),,-1,,,+1(81),+6(258),,+1(7),,+1(22),+1(94),
27,Silver,大连理工大学,奇点,6,979,,,,,,+2(142),+2(288),,+3(11),,+2(49),+1(91),+1(298)
28,Silver,国防科技大学,开普勒,6,1021,,,,,,+1(149),+3(285),,+1(8),,+2(29),+4(140),+1(290)
29,Silver,同济大学,捷尔任斯基观摩团,6,1022,,,,,,+1(76),+7(290),,+1(13),,+4(41),+1(143),+1(279)
30,Silver,北京理工大学,北理六队,6,1036,,,,,,+7(277),+2(253),,+1(8),,+1(17),+1(50),+1(291)
31,Silver,闽南师范大学,闽南师范一队,5,347,,,-1,,,+1(64),+1(130),,+2(15),,+1(22),+1(96),
32,Silver,杭州电子科技大学,HDU-Jackaroo,5,381,,,,,,+2(83),-2,,+1(10),,+1(26),+1(57),+1(185)
33,Silver,中国地质大学（武汉）,龙之队二世,5,394,,,,,,+1(39),+4(162),,+1(11),,+1(18),+2(84),
34,Silver,北京交通大学,终末之冬,5,411,,,,,,+3(52),-17,,+2(21),,+1(6),+1(67),+1(205)
35,Silver,华中科技大学,华科附属幼儿园,5,456,,,,-5,,+1(117),+2(231),,+1(8),,+1(31),+1(49),
36,Silver,复旦大学,诺伦,5,484,,,,,,+1(144),+3(196),,+2(13),,+1(18),+1(53),
37,Silver,浙江大学,aftermath,5,501,,,,,,+1(45),-3,-8,+1(13),,+1(25),+3(145),+1(233)
38,Silver,南京理工大学,AC公司,5,503,,,,,,+1(53),-8,,+3(23),,+1(31),+1(148),+1(208)
39,Silver,华中师范大学,暴力打牌,5,508,,,,,,+3(146),+3(183),,+1(15),,+1(26),+1(58),-5
39,Silver,中国石油大学（华东）,三只松鼠,5,508,,,,,,+1(175),+1(232),,+1(9),,+1(19),+1(73),-3
41,Silver,北京理工大学,巴哈姆特,5,516,-1,,-6,,,+2(141),-2,,+1(15),,+1(26),+1(57),+1(257)
42,Silver,北京理工大学,正在登录,5,535,,,,,,+1(243),+2(180),,+1(13),,+1(30),+1(49),
43,Silver,大连理工大学,嘟嘟噜嘟噜,5,543,,,,,,+2(65),+5(276),,+1(14),,+1(17),+1(71),
44,Silver,西安交通大学,说学逗唱,5,548,,,,,,+1(128),+3(276),,+1(11),,+1(23),+1(70),
45,Silver,杭州电子科技大学,HDU-ColdFlame,5,558,,,,,,+2(90),+4(211),,+1(15),,+2(57),+1(85),
46,Silver,浙江师范大学,我在贪玩红月等你来,5,565,,,,,,+3(124),-5,,+2(22),,+1(27),+1(62),+1(270)
47,Silver,大连理工大学,扶我起来还能A,5,585,,,,,,+1(180),+1(275),,+1(17),,+1(28),+1(85),
48,Silver,山东大学,未定义,5,592,,,+2(215),,,+2(125),-2,,+1(17),,+1(27),+1(168),
49,Silver,天津大学,TJU_Team09,5,599,,,,,,+2(119),-4,,+1(19),,+1(22),+1(136),+2(263)
50,Silver,浙江工业大学,浅听风吟,5,621,,,,,,+2(127),+7(249),,+1(11),,+1(19),+1(75),
51,Silver,重庆邮电大学,无限键制,5,623,,,,,,+3(156),-1,+2(282),+2(16),,+1(29),+1(60),
52,Silver,西安电子科技大学,红衣,5,671,,,,,,+2(141),-6,,+1(16),,+1(36),+1(170),+1(288)
53,Silver,复旦大学,巴洛克,5,673,,,+8(255),,,+1(61),-5,,+2(15),,+4(55),+1(67),
54,Silver,中国矿业大学,嘟嘟噜,5,685,,,,,,+1(89),,,+5(36),,+1(23),+2(145),+1(292)
54,Silver,四川大学,01不再见,5,685,,,,,,+1(189),,-2,+1(18),,+1(45),+1(80),+4(293)
56,Bronze,厦门大学,以下各队,5,689,,,,,,+1(194),+5(256),,+1(14),,+2(26),+1(99),-2
57,Bronze,福州大学,条码,5,690,,,,-1,,+1(149),+2(271),,+1(9),,+2(152),+1(69),
58,Bronze,华南理工大学,我的表弟不会快速傅里叶变换,5,701,,,,,,+1(130),+4(221),,+1(13),,+4(56),+4(101),-1
59,Bronze,华东交通大学,豆豆煮成浢浢,5,708,,,,,,+4(253),+4(231),,+1(16),,+1(28),+1(60),
60,Bronze,吉林大学,灯，等灯等灯,5,746,,,,,,+1(145),+8(281),,+3(15),,+1(30),+1(95),
61,Bronze,华南农业大学,极限火花,5,897,,,,,,+1(105),+13(299),,+1(15),,+1(19),+2(199),
62,Bronze,哈尔滨理工大学,哈理工03队,5,1117,,,-1,,,+1(169),+22(299),,+2(15),,+2(67),+1(107),
63,Bronze,上海大学,时梭者,4,167,,,,,,+1(54),-4,,+1(13),,+1(27),+1(73),-4
64,Bronze,湖南工业大学,赞美太阳,4,200,,,,,,+1(107),-4,,+1(11),,+1(21),+1(61),
65,Bronze,中国地质大学（北京）,哇！金色普通！,4,226,,,,,,+1(123),-1,,+1(14),,+1(35),+1(54),
66,Bronze,西北工业大学,萤火虫,4,233,,,,,,+2(107),-7,,+1(9),,+1(22),+1(75),
67,Bronze,北京师范大学,BNU新生队,4,238,,,-3,,,+4(92),-3,,+1(14),,+1(24),+1(48),
68,Bronze,西安交通大学,起队名的时候不打一架是不存在的,4,247,,,-5,,,+1(147),-7,,+1(15),,+1(26),+1(59),
69,Bronze,中国石油大学（华东）,大吉大利，晚上吃鸡,4,290,,,,,-4,+1(115),,,+4(37),,+1(20),+1(58),
70,Bronze,福建工程学院,坚果工程,4,305,,,,,,+1(154),-1,,+1(12),,+1(45),+1(94),
71,Bronze,重庆大学,瞬间爆炸,4,310,,,,,,+2(168),,,+1(14),,+1(32),+1(76),-1
72,Bronze,湘潭大学,蝴蝶效应,4,313,,,+1(217),,,+1(64),,,+1(9),,+1(23),-6,
73,Bronze,浙江理工大学,大四求工作啊！！！lyjcmp@163.com,4,314,,,,,,+1(164),,-1,+2(13),,+1(27),+1(90),
74,Bronze,南京大学,保持在线,4,320,,,,,,+2(141),-5,,+1(8),,+1(20),+2(111),
75,Bronze,浙江工业大学,三只小猪,4,325,,,,,,+1(148),,,+3(19),,+2(48),+1(50),
75,Bronze,天津工业大学,90后老男人,4,325,,,,,,+1(102),,,+2(9),,+1(33),+1(161),
77,Bronze,西南科技大学,路由错误,4,346,,,,,,+2(138),,,+1(19),,+1(23),+1(146),-1
78,Bronze,河南理工大学,雷鸣风暴,4,349,,,+1(139),,,-6,,,+1(14),,+2(33),+2(123),
79,Bronze,湖南科技大学,Aurora,4,366,,,-1,,,+1(110),,,+1(11),,+3(40),+1(165),
80,Bronze,华南农业大学,勇敢的蒲公英,4,369,,,,,,+2(124),-19,,+3(17),,+2(46),+1(102),
81,Bronze,天津大学,TJU_Are_you_hungry,4,375,,,,,,+3(136),,,+2(16),,+1(21),+1(142),-4
82,Bronze,中国石油大学（华东）,子非鱼,4,376,,,,,,+4(149),-18,,+2(17),,+1(39),+2(71),
83,Bronze,福州大学,大吉大利,4,385,,,,,,+2(120),,,+1(11),,+1(42),+3(152),
84,Bronze,北京师范大学,风舞者,4,389,,,,,,+1(126),-1,,+2(17),,+1(35),+2(171),
85,Bronze,重庆大学,今天晚上吃什么,4,395,,,,,,+2(168),-11,,+1(19),,+3(46),+1(102),
86,Bronze,中国科学技术大学,中科大八队,4,400,,,,,,+1(293),,,+1(10),,+1(26),+1(71),
87,Bronze,哈尔滨工业大学,磁力链接,4,409,,,-3,,,+3(236),-1,,+1(10),,+1(23),+1(100),
88,Bronze,电子科技大学,UESTC_星空,4,418,,,,,,+2(223),-2,,+2(16),,+1(25),+2(94),
89,Bronze,浙江大学宁波理工学院,无常君主,4,429,,,,,,+2(173),,,+3(28),,+2(53),+1(95),
90,Bronze,东北农业大学,蛋黄煎饼,4,442,,,,,,+2(204),-15,,+2(31),,+2(33),+1(114),
91,Bronze,山东大学,输入输出流,4,443,,,,,,+4(294),,-8,+2(5),,+1(25),+1(39),
92,Bronze,山东科技大学,无畏号,4,444,,,,,,+2(143),-4,,+1(16),,+1(27),+1(238),
93,Bronze,重庆邮电大学,阐释者,4,447,,,,,,+4(188),-10,,+2(11),,+1(32),+2(116),
94,Bronze,山东大学（威海）,起队名什么的最头痛了,4,454,,,,,,+2(137),,,+1(17),,+1(25),+2(235),
95,Bronze,成都东软学院,背锅侠,4,463,,,-1,,,+1(216),,,+2(18),,+1(67),+2(122),
96,Bronze,华南理工大学,当然是选择原谅她啊,4,466,,,,,,+4(173),,,+2(23),,+1(30),+2(140),
97,Bronze,中国科学院大学,美好的每一天,4,476,,,,,,,,+3(172),+2(9),,+1(35),+1(200),
98,Bronze,青岛大学,欲言又止,4,479,,,,-11,,+1(199),,,+1(12),,+2(43),+3(165),
99,Bronze,广东工业大学,递归调用,4,486,,,,,,+2(246),,,+1(12),,+1(36),+1(172),
100,Bronze,南京航空航天大学,我还能再AC,4,489,,,,,,+2(193),-17,,+4(37),,+1(45),+2(114),
101,Bronze,东北师范大学,仨佬,4,490,,,,,,+2(144),,,+1(8),,+3(62),+1(216),
102,Bronze,北京林业大学,1900,4,503,,,,,,+1(179),-5,,+3(21),,+4(54),+3(109),
103,Bronze,华东师范大学,稳住我们能赢,4,505,,,,,,+3(153),,,+1(15),,+1(34),+4(203),-4
104,Bronze,福建师范大学,敲敲～,4,512,,,,,,+2(219),-9,,+4(38),,+1(36),+2(119),
105,Bronze,武汉大学,绝对不会带来笑容,4,514,,,,,,+1(111),,,+1(16),,+1(25),+6(262),
106,Bronze,南京林业大学,超级加倍,4,519,,,-2,-14,,+1(193),,,+1(15),,+3(113),+1(158),
107,Bronze,安徽大学,墙角猫,4,538,,,-9,,,+1(178),,,+1(11),,+2(121),+1(208),
108,Bronze,南阳理工学院,低价甩卖PAT代金券,4,549,,,,,,+4(233),-14,,+4(34),,+1(29),+1(133),
109,Bronze,电子科技大学,UESTC_新垣结衣,4,556,,,,,,+2(147),,,+1(11),,+1(31),+5(267),
110,,长安大学,老房房,4,561,,,,,,+1(170),-229,,+2(12),,+3(74),+2(225),
111,,郑州轻工业学院,我觉得OK,4,574,,,,,,+6(281),,,+1(21),,+1(33),+3(99),
112,,南京邮电大学,从零开始,4,578,,,-1,,,+2(149),,,+4(20),,+1(39),+4(230),
113,,华东理工大学,新程序新思想,4,594,,,,,,+2(161),,,+3(12),,+1(19),+4(282),
